name	x_center	y_center	width	height	label	object_id
1708684803300021-676a2161cb10466ee21507a9_1708684803300021.png	2169.560059	1177.269531	606.426514	481.646515	CAR	1
1708684803300021-676a2161cb10466ee21507a9_1708684803300021.png	541.989929	1135.714722	374.604645	244.44191	CAR	2
1708684803300021-676a2161cb10466ee21507a9_1708684803300021.png	3273.289551	839.625244	73.952637	70.884819	TRIANGLE_ROAD_SIGN	3
1708684803300021-676a2161cb10466ee21507a9_1708684803300021.png	1604.834961	933.37085	35.280075	59.125156	TRIANGLE_ROAD_SIGN	4
1708684803333463-676a2161cb10466ee21507aa_1708684803333463.png	2161.915039	1177.785767	614.774658	482.588013	CAR	1
1708684803333463-676a2161cb10466ee21507aa_1708684803333463.png	531.216064	1138.252686	371.689392	246.599915	CAR	2
1708684803333463-676a2161cb10466ee21507aa_1708684803333463.png	3282.994141	837.085571	68.730011	70.470657	TRIANGLE_ROAD_SIGN	3
1708684803333463-676a2161cb10466ee21507aa_1708684803333463.png	75.347527	873.205566	36.685581	62.570686	TRIANGLE_ROAD_SIGN	5
1708684803333463-676a2161cb10466ee21507aa_1708684803333463.png	1602.174683	933.082214	32.122879	49.352646	TRIANGLE_ROAD_SIGN	4
1708684803366871-676a2161cb10466ee21507ab_1708684803366871.png	2154.348389	1177.881592	618.991333	483.059509	CAR	1
1708684803366871-676a2161cb10466ee21507ab_1708684803366871.png	520.89325	1142.602173	376.80603	248.776825	CAR	2
1708684803366871-676a2161cb10466ee21507ab_1708684803366871.png	3285.706787	835.675354	77.275085	72.707634	TRIANGLE_ROAD_SIGN	3
1708684803366871-676a2161cb10466ee21507ab_1708684803366871.png	1596.885254	931.935852	33.435287	55.86937	TRIANGLE_ROAD_SIGN	4
1708684803366871-676a2161cb10466ee21507ab_1708684803366871.png	59.839783	873.722595	37.226917	62.08374	TRIANGLE_ROAD_SIGN	5
1708684803366871-676a2161cb10466ee21507ab_1708684803366871.png	2424.265625	1102.821899	45.605621	45.588226	TRIANGLE_ROAD_SIGN	6
1708684803400236-676a2161cb10466ee21507ac_1708684803400236.png	2147.037109	1178.025391	622.021179	482.588257	CAR	1
1708684803400236-676a2161cb10466ee21507ac_1708684803400236.png	504.448486	1144.815918	376.438232	255.922852	CAR	2
1708684803400236-676a2161cb10466ee21507ac_1708684803400236.png	1595.414917	935.217346	41.972809	66.330475	TRIANGLE_ROAD_SIGN	4
1708684803400236-676a2161cb10466ee21507ac_1708684803400236.png	3288.76709	827.082275	86.967773	80.00988	TRIANGLE_ROAD_SIGN	3
1708684803400236-676a2161cb10466ee21507ac_1708684803400236.png	2420.336914	1102.809082	47.145081	45.632858	TRIANGLE_ROAD_SIGN	6
1708684803400236-676a2161cb10466ee21507ac_1708684803400236.png	42.971825	876.609497	44.418705	71.650429	TRIANGLE_ROAD_SIGN	5
1708684803433250-676a2161cb10466ee21507ad_1708684803433250.png	2138.761475	1177.345215	629.968323	485.424164	CAR	1
1708684803433250-676a2161cb10466ee21507ad_1708684803433250.png	490.791565	1146.409668	379.390625	257.175537	CAR	2
1708684803433250-676a2161cb10466ee21507ad_1708684803433250.png	3300.124268	826.332642	73.736572	77.245903	TRIANGLE_ROAD_SIGN	3
